epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,66.6989,0.83896,1.07172,1.17865,1.03077,0,0.40378,0.71429,0.4586,0.33707,0.40378,0.71429,0.45491,0.25956,1.19347,3.64955,1.89161,1.22909,0,0.000629231,0.000629231,0.000629231
29,68.9159,0.78847,1.08749,1.10981,1.01803,0,0.45083,0.42857,0.43434,0.34562,0.45083,0.42857,0.43231,0.25245,1.01105,3.9493,1.99634,1.13367,0,0.000578462,0.000578462,0.000578462
30,83.6017,0.78537,1.03333,1.19727,1.04466,0,0.93912,0.28571,0.38826,0.32346,0.93912,0.28571,0.38773,0.24473,1.08871,4.09452,2.20339,1.1494,0,0.000527692,0.000527692,0.000527692
31,85.8957,0.73016,0.93041,1.12141,0.98744,0,0.45572,0.28571,0.35005,0.27175,0.45572,0.28571,0.34823,0.22711,1.22499,4.02307,2.28548,1.17763,0,0.000476923,0.000476923,0.000476923
32,88.1547,0.7463,0.97246,1.06236,1.01179,0,0.45637,0.28571,0.33293,0.22426,0.45637,0.28571,0.32875,0.22469,1.2131,3.81873,2.26439,1.20707,0,0.000426154,0.000426154,0.000426154
33,90.4097,0.71144,0.88125,1.04651,1.00092,0,0.46863,0.42857,0.32234,0.23644,0.46863,0.42857,0.31492,0.22469,1.13364,3.91888,2.40656,1.17997,0,0.000375385,0.000375385,0.000375385
34,92.6237,0.64546,0.86973,0.93345,0.96775,0,0.93796,0.14286,0.25407,0.20912,0.93796,0.14286,0.24881,0.1938,1.02819,3.82389,2.5541,1.15092,0,0.000324615,0.000324615,0.000324615
35,95.0087,0.72574,1.12965,1.02849,1.03499,0,0.2364,0.28571,0.26325,0.21857,0.35905,0.42857,0.35068,0.21601,1.03562,3.70595,2.48292,1.16542,0,0.000273846,0.000273846,0.000273846
36,97.2377,0.65655,0.87185,0.89728,0.98371,0,0.9283,0.42857,0.47317,0.32872,0.9283,0.42857,0.46884,0.32754,1.03096,3.54165,2.36521,1.1567,0,0.000223077,0.000223077,0.000223077
37,99.5887,0.63315,0.80425,0.86399,0.97256,0,0.89279,0.42857,0.47585,0.31076,0.89279,0.42857,0.47192,0.30424,0.9884,3.56334,2.3605,1.13479,0,0.000172308,0.000172308,0.000172308
38,102.026,0.66362,0.81725,0.84249,1.00752,0,0.555,0.42857,0.37674,0.28946,0.95706,0.42857,0.47612,0.29865,0.99376,3.45946,2.36194,1.12942,0,0.000121538,0.000121538,0.000121538
39,104.49,0.60678,0.82835,0.82786,0.95173,0,0.95463,0.42857,0.47519,0.31742,0.95463,0.42857,0.47519,0.3142,0.9725,3.34421,2.32264,1.10503,0,7.07692e-05,7.07692e-05,7.07692e-05
